mcc,category_rus
3077,"Авиалинии, авиакомпании"
3351,Агентства по аренде автомобилей
3076,"Авиалинии, авиакомпании"
3703,"Отели, мотели, курорты"
7276,Служба налоговой подготовки
3035,"Авиалинии, авиакомпании"
3643,"Отели, мотели, курорты"
3012,"Авиалинии, авиакомпании"
3747,"Отели, мотели, курорты"
3511,"Отели, мотели, курорты"
3368,Агентства по аренде автомобилей
6532,Платежная операция - финансовое учреждение
7699,Ремонтные услуги ? нигде более не классифицированные
7996,"Парки аттракционов, карнавалы, цирки, гадалки"
3652,"Отели, мотели, курорты"
3181,"Авиалинии, авиакомпании"
3512,"Отели, мотели, курорты"
3749,"Отели, мотели, курорты"
5531,Автомобили и транспортные средства
3294,"Авиалинии, авиакомпании"
3412,Агентства по аренде автомобилей
5941,Спорттовары
6536,Денежные переводы MasterCard MoneySend - внутри страны
5816,Цифровые товары ? игры
8675,Автомобильные ассоциации
3586,"Отели, мотели, курорты"
780,Услуги садоводства и ландшафтного дизайна
3674,"Отели, мотели, курорты"
3742,"Отели, мотели, курорты"
7623,Ремонт кондиционеров и холодильников
3234,"Авиалинии, авиакомпании"
3533,"Отели, мотели, курорты"
1520,Генеральные подрядчики ? жилое и коммерческое строительство
5051,Центры и офисы работ по металлу
3103,"Авиалинии, авиакомпании"
5999,Различные магазины и специальные розничные магазины
1799,Контрактные услуги ? нигде более не классифицированные
3068,"Авиалинии, авиакомпании"
3654,"Отели, мотели, курорты"
3519,"Отели, мотели, курорты"
3572,"Отели, мотели, курорты"
3617,"Отели, мотели, курорты"
3078,"Авиалинии, авиакомпании"
6011,Финансовые учреждения ? снятие наличности автоматически
9222,Штрафы
7941,"Атлетические поля, коммерческие виды спорта, профессиональные спортивные клубы, промоутеры спорта"
7349,Уборка и чистка помещений
3100,"Авиалинии, авиакомпании"
3544,"Отели, мотели, курорты"
3196,"Авиалинии, авиакомпании"
3589,"Отели, мотели, курорты"
3558,"Отели, мотели, курорты"
3061,"Авиалинии, авиакомпании"
8011,Доктора ? нигде более не классифицированные
7399,Бизнес услуги ? нигде более не классифицированные
5631,Аксессуары для женщин
5193,"Принадлежности для флористов, питомник и цветы"
7395,"Фотостудии, фотолаборатории"
7375,Информационно-поисковые услуги
5046,Коммерческое оборудование ? нигде более не классифицированное
3236,"Авиалинии, авиакомпании"
7641,"Мебель ? обивка, ремонт и реставрация"
3615,"Отели, мотели, курорты"
7629,Ремонт электрооборудования и малой бытовой техники
8211,Школы: начальная и средняя
3381,Агентства по аренде автомобилей
3621,"Отели, мотели, курорты"
7549,Буксировка
3830,"Отели, мотели, курорты"
3041,"Авиалинии, авиакомпании"
3731,"Отели, мотели, курорты"
3723,"Отели, мотели, курорты"
3552,"Отели, мотели, курорты"
3217,"Авиалинии, авиакомпании"
5933,Ломбарды
3668,"Отели, мотели, курорты"
6050,Финансовые учреждения ? квази-кэш
3004,"Авиалинии, авиакомпании"
3248,"Авиалинии, авиакомпании"
3183,"Авиалинии, авиакомпании"
3049,"Авиалинии, авиакомпании"
7299,Иной сервис - нигде более не классифицированные
7311,Рекламные услуги
4214,"Агентства по автотранспортным перевозкам, местные/ дальные автогрузоперевозки, компании попереезду и хранению, местная доставка"
8244,Бизнес / секретарские школы
3811,"Отели, мотели, курорты"
3793,"Отели, мотели, курорты"
5621,Готовая женская одежда
5993,Табачные магазины
4131,Автобусные линии
5561,"Дома- автоприцепы, жилые неразборные и грузовые прицепы"
7338,"Быстрое копирование, репродуцирование и услуги по созданию чертежей"
3779,"Отели, мотели, курорты"
7993,Принадлежности для видеоигр
8911,"Архитектурные, инженерные и геодезические услуги"
3640,"Отели, мотели, курорты"
3260,"Авиалинии, авиакомпании"
3678,"Отели, мотели, курорты"
3677,"Отели, мотели, курорты"
3754,"Отели, мотели, курорты"
3802,"Отели, мотели, курорты"
3024,"Авиалинии, авиакомпании"
3649,"Отели, мотели, курорты"
8931,"Бухгалтерский учет, аудит и бухгалтерские услуги"
3743,"Отели, мотели, курорты"
3822,"Отели, мотели, курорты"
3800,"Отели, мотели, курорты"
3717,"Отели, мотели, курорты"
3704,"Отели, мотели, курорты"
5964,Прямой маркетинг ? торговля по каталогам
5732,Продажа электронного оборудования
5733,"Продажа музыкальных инструментов, фортепиано, нот."
7251,"Чистка шляп, ремонт и чистка обуви"
7372,"Программирование, обработка данных, проектирование интегрированных систем"
7393,"Детективные агентства, охранные агентства, службы безопасности, включая бронированные автомобили, сторожевых собак"
7519,"Прокат домиков на колесах, аксессуары к наземному транспорту."
3050,"Авиалинии, авиакомпании"
